TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
242 0.94902 0.00370458
243 0.952941 0.00369793
244 0.956863 0.0036913
245 0.960784 0.00368469
246 0.964706 0.00367811
247 0.968627 0.00367156
248 0.972549 0.00366502
249 0.976471 0.00365852
250 0.980392 0.00365204
251 0.984314 0.00364558
252 0.988235 0.00363915
253 0.992157 0.00363274
254 0.996078 0.00362636
255 1 0.00362
256 1 2.86463e-15
