TITLE = "Residual History"
VARIABLES = "Step" "Time" "Residual"
ZONE F=POINT
240 0.470588 0.00174468
241 0.472549 0.00174108
242 0.47451 0.00173749
243 0.476471 0.00173392
244 0.478431 0.00173036
245 0.480392 0.00172682
246 0.482353 0.00172329
247 0.484314 0.00171978
248 0.486275 0.00171628
249 0.488235 0.00171279
250 0.490196 0.00170932
251 0.492157 0.00170587
252 0.494118 0.00170242
253 0.496078 0.001699
254 0.498039 0.00169558
255 0.5 0.00169218
256 0.501961 0.00168879
257 0.503922 0.00168542
258 0.505882 0.00168206
259 0.507843 0.00167871
260 0.509804 0.00167538
261 0.511765 0.00167206
262 0.513725 0.00166875
263 0.515686 0.00166546
264 0.517647 0.00166218
265 0.519608 0.00165891
266 0.521569 0.00165566
267 0.523529 0.00165242
268 0.52549 0.00164919
269 0.527451 0.00164597
270 0.529412 0.00164277
271 0.531373 0.00163958
272 0.533333 0.0016364
273 0.535294 0.00163323
274 0.537255 0.00163008
275 0.539216 0.00162694
276 0.541176 0.00162381
277 0.543137 0.00162069
278 0.545098 0.00161758
279 0.547059 0.00161449
280 0.54902 0.00161141
281 0.55098 0.00160834
282 0.552941 0.00160528
283 0.554902 0.00160223
284 0.556863 0.0015992
285 0.558824 0.00159618
286 0.560784 0.00159316
287 0.562745 0.00159016
288 0.564706 0.00158717
289 0.566667 0.0015842
290 0.568627 0.00158123
291 0.570588 0.00157827
292 0.572549 0.00157533
293 0.57451 0.0015724
294 0.576471 0.00156947
295 0.578431 0.00156656
296 0.580392 0.00156366
297 0.582353 0.00156077
298 0.584314 0.00155789
299 0.586275 0.00155502
300 0.588235 0.00155217
301 0.590196 0.00154932
302 0.592157 0.00154648
303 0.594118 0.00154365
304 0.596078 0.00154084
305 0.598039 0.00153803
306 0.6 0.00153524
307 0.601961 0.00153245
308 0.603922 0.00152968
309 0.605882 0.00152691
310 0.607843 0.00152416
311 0.609804 0.00152141
312 0.611765 0.00151868
313 0.613725 0.00151595
314 0.615686 0.00151323
315 0.617647 0.00151053
316 0.619608 0.00150783
317 0.621569 0.00150515
318 0.623529 0.00150247
319 0.62549 0.0014998
320 0.627451 0.00149714
321 0.629412 0.0014945
322 0.631373 0.00149186
323 0.633333 0.00148923
324 0.635294 0.00148661
325 0.637255 0.001484
326 0.639216 0.00148139
327 0.641176 0.0014788
328 0.643137 0.00147622
329 0.645098 0.00147364
330 0.647059 0.00147108
331 0.64902 0.00146852
332 0.65098 0.00146597
333 0.652941 0.00146343
334 0.654902 0.0014609
335 0.656863 0.00145838
336 0.658824 0.00145587
337 0.660784 0.00145337
338 0.662745 0.00145087
339 0.664706 0.00144838
340 0.666667 0.00144591
341 0.668627 0.00144344
342 0.670588 0.00144098
343 0.672549 0.00143852
344 0.67451 0.00143608
345 0.676471 0.00143364
346 0.678431 0.00143122
347 0.680392 0.0014288
348 0.682353 0.00142638
349 0.684314 0.00142398
350 0.686275 0.00142159
351 0.688235 0.0014192
352 0.690196 0.00141682
353 0.692157 0.00141445
354 0.694118 0.00141209
355 0.696078 0.00140973
356 0.698039 0.00140739
357 0.7 0.00140505
358 0.701961 0.00140271
359 0.703922 0.00140039
360 0.705882 0.00139807
361 0.707843 0.00139577
362 0.709804 0.00139347
363 0.711765 0.00139117
364 0.713725 0.00138889
365 0.715686 0.00138661
366 0.717647 0.00138434
367 0.719608 0.00138208
368 0.721569 0.00137982
369 0.723529 0.00137757
370 0.72549 0.00137533
371 0.727451 0.0013731
372 0.729412 0.00137087
373 0.731373 0.00136865
374 0.733333 0.00136644
375 0.735294 0.00136423
376 0.737255 0.00136204
377 0.739216 0.00135985
378 0.741176 0.00135766
379 0.743137 0.00135549
380 0.745098 0.00135332
381 0.747059 0.00135115
382 0.74902 0.001349
383 0.75098 0.00134685
384 0.752941 0.00134471
385 0.754902 0.00134257
386 0.756863 0.00134045
387 0.758824 0.00133832
388 0.760784 0.00133621
389 0.762745 0.0013341
390 0.764706 0.001332
391 0.766667 0.00132991
392 0.768627 0.00132782
393 0.770588 0.00132574
394 0.772549 0.00132366
395 0.77451 0.00132159
396 0.776471 0.00131953
397 0.778431 0.00131748
398 0.780392 0.00131543
399 0.782353 0.00131338
400 0.784314 0.00131135
401 0.786275 0.00130932
402 0.788235 0.00130729
403 0.790196 0.00130528
404 0.792157 0.00130326
405 0.794118 0.00130126
406 0.796078 0.00129926
407 0.798039 0.00129727
408 0.8 0.00129528
409 0.801961 0.0012933
410 0.803922 0.00129133
411 0.805882 0.00128936
412 0.807843 0.0012874
413 0.809804 0.00128544
414 0.811765 0.00128349
415 0.813725 0.00128154
416 0.815686 0.00127961
417 0.817647 0.00127767
418 0.819608 0.00127575
419 0.821569 0.00127383
420 0.823529 0.00127191
421 0.82549 0.00127
422 0.827451 0.0012681
423 0.829412 0.0012662
424 0.831373 0.00126431
425 0.833333 0.00126242
426 0.835294 0.00126054
427 0.837255 0.00125866
428 0.839216 0.00125679
429 0.841176 0.00125493
430 0.843137 0.00125307
431 0.845098 0.00125122
432 0.847059 0.00124937
433 0.84902 0.00124753
434 0.85098 0.00124569
435 0.852941 0.00124386
436 0.854902 0.00124203
437 0.856863 0.00124021
438 0.858824 0.0012384
439 0.860784 0.00123659
440 0.862745 0.00123478
441 0.864706 0.00123298
442 0.866667 0.00123119
443 0.868627 0.0012294
444 0.870588 0.00122762
445 0.872549 0.00122584
446 0.87451 0.00122406
447 0.876471 0.0012223
448 0.878431 0.00122053
449 0.880392 0.00121878
450 0.882353 0.00121702
451 0.884314 0.00121527
452 0.886275 0.00121353
453 0.888235 0.00121179
454 0.890196 0.00121006
455 0.892157 0.00120833
456 0.894118 0.00120661
457 0.896078 0.00120489
458 0.898039 0.00120318
459 0.9 0.00120147
460 0.901961 0.00119977
461 0.903922 0.00119807
462 0.905882 0.00119638
463 0.907843 0.00119469
464 0.909804 0.001193
465 0.911765 0.00119132
466 0.913725 0.00118965
467 0.915686 0.00118798
468 0.917647 0.00118631
469 0.919608 0.00118465
470 0.921569 0.001183
471 0.923529 0.00118135
472 0.92549 0.0011797
473 0.927451 0.00117806
474 0.929412 0.00117642
475 0.931373 0.00117479
476 0.933333 0.00117316
477 0.935294 0.00117153
478 0.937255 0.00116991
479 0.939216 0.0011683
480 0.941176 0.00116669
481 0.943137 0.00116508
482 0.945098 0.00116348
483 0.947059 0.00116188
484 0.94902 0.00116029
485 0.95098 0.0011587
486 0.952941 0.00115712
487 0.954902 0.00115554
488 0.956863 0.00115396
489 0.958824 0.00115239
490 0.960784 0.00115083
491 0.962745 0.00114926
492 0.964706 0.00114771
493 0.966667 0.00114615
494 0.968627 0.0011446
495 0.970588 0.00114306
496 0.972549 0.00114151
497 0.97451 0.00113998
498 0.976471 0.00113844
499 0.978431 0.00113692
500 0.980392 0.00113539
501 0.982353 0.00113387
502 0.984314 0.00113235
503 0.986275 0.00113084
504 0.988235 0.00112933
505 0.990196 0.00112783
506 0.992157 0.00112633
507 0.994118 0.00112483
508 0.996078 0.00112334
509 0.998039 0.00112185
510 1 0.00112036
511 1 1.90066e-15
