TITLE = "2D Linear Advection"
VARIABLES = "x" "y" "u"
ZONE I=102, J=102, F=POINT
4.901961e-03 4.901961e-03 1.923754e-06
1.470588e-02 4.901961e-03 3.020903e-06
2.450980e-02 4.901961e-03 4.680439e-06
3.431373e-02 4.901961e-03 7.156396e-06
4.411765e-02 4.901961e-03 1.080058e-05
5.392157e-02 4.901961e-03 1.609251e-05
6.372549e-02 4.901961e-03 2.367528e-05
7.352941e-02 4.901961e-03 3.439728e-05
8.333333e-02 4.901961e-03 4.935898e-05
9.313725e-02 4.901961e-03 6.996319e-05
1.029412e-01 4.901961e-03 9.796615e-05
1.127451e-01 4.901961e-03 1.355256e-04
1.225490e-01 4.901961e-03 1.852404e-04
1.323529e-01 4.901961e-03 2.501756e-04
1.421569e-01 4.901961e-03 3.338648e-04
1.519608e-01 4.901961e-03 4.402816e-04
1.617647e-01 4.901961e-03 5.737721e-04
1.715686e-01 4.901961e-03 7.389408e-04
1.813725e-01 4.901961e-03 9.404836e-04
1.911765e-01 4.901961e-03 1.182967e-03
2.009804e-01 4.901961e-03 1.470551e-03
2.107843e-01 4.901961e-03 1.806674e-03
2.205882e-01 4.901961e-03 2.193693e-03
2.303922e-01 4.901961e-03 2.632524e-03
2.401961e-01 4.901961e-03 3.122283e-03
2.500000e-01 4.901961e-03 3.659973e-03
2.598039e-01 4.901961e-03 4.240251e-03
2.696078e-01 4.901961e-03 4.855286e-03
2.794118e-01 4.901961e-03 5.494762e-03
2.892157e-01 4.901961e-03 6.146032e-03
2.990196e-01 4.901961e-03 6.794433e-03
3.088235e-01 4.901961e-03 7.423772e-03
3.186275e-01 4.901961e-03 8.016950e-03
3.284314e-01 4.901961e-03 8.556712e-03
3.382353e-01 4.901961e-03 9.026463e-03
3.480392e-01 4.901961e-03 9.411108e-03
3.578431e-01 4.901961e-03 9.697856e-03
3.676471e-01 4.901961e-03 9.876925e-03
3.774510e-01 4.901961e-03 9.942091e-03
3.872549e-01 4.901961e-03 9.891052e-03
3.970588e-01 4.901961e-03 9.725560e-03
4.068627e-01 4.901961e-03 9.451322e-03
4.166667e-01 4.901961e-03 9.077673e-03
4.264706e-01 4.901961e-03 8.617052e-03
4.362745e-01 4.901961e-03 8.084310e-03
4.460784e-01 4.901961e-03 7.495921e-03
4.558824e-01 4.901961e-03 6.869141e-03
4.656863e-01 4.901961e-03 6.221180e-03
4.754902e-01 4.901961e-03 5.568437e-03
4.852941e-01 4.901961e-03 4.925849e-03
4.950980e-01 4.901961e-03 4.306388e-03
